stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5730,CentMar2,EBD Central Park before Marsh,CENTRAL PARK DR & NEW YORK AVE,42.727833,-84.416223,,,,,,0
5731,NortMasW,WBD North past Massachusetts,E NORTH ST & NEW YORK AVE,42.75179,-84.536417,,,,,,0
5736,LkLaCo2E,EBD Lake Lansing before Chamberlain,LAKE LANSING RD,42.759922,-84.531298,,,,,,0
5737,LkLaCh2W,WBD Lake Lansing past Chamberlain,LAKE LANSING RD,42.76006,-84.531327,,,,,,0
5740,SagCedaE,EBD Saginaw before Cedar,E SAGINAW ST & N CEDAR ST,42.740851,-84.548332,,,,,,0
5741,MainBriE,EBD Main past Bridge St,W MAIN ST & BRIDGE ST,42.724162,-84.585387,,,,,,0
5742,CaCiAir2,NBD Cap. City Blvd @ Peckham,CAPITOL CITY BLVD & N GRAND RIVER AVE,42.768931,-84.588883,,,,,,0
5743,AbbABPLN,NBD Abbot past Abbot Place,ABBOT RD & ABBOT PLACE APT,42.763317,-84.483575,,,,,,0
5744,AbbAQCEN,NBD Abbot at EL Aquatic Center,ABBOT RD & S CHANDLER RD,42.767576,-84.483519,,,,,,0
5745,TrCoBJE1,EBD Trappers Cove past Dunckel 1,TRAPPERS COVE TRL,42.687414,-84.512535,,,,,,0
5746,TrCoBJE2,EBD Trappers Cove past Dunckel 2,TRAPPERS COVE TRL,42.687429,-84.50895,,,,,,0
5747,TrCoBJE3,EBD Trappers Cove past Dunckel 3,TRAPPERS COVE TRL & BEAU JARDIN DR,42.686702,-84.505808,,,,,,0
5748,TrCoBJE4,EBD Trappers Cove past Dunckel 4,TRAPPERS COVE TRL & BEAU JARDIN DR,42.685055,-84.504878,,,,,,0
5749,TrCoBJE5,WBD BeauJardin past Trappers Cove,BEAU JARDIN DR & TRAPPERS COVE TRL,42.684528,-84.505762,,,,,,0
5750,TrCoBJE6,SBD Belle Chase past Beau Jardin,BELLE CHASE BLVD & BEAU JARDIN DR,42.684127,-84.508562,,,,,,0
5751,ShiaCheE,EBD Shiawassee past Chestnut,W SHIAWASSEE ST & N CHESTNUT ST,42.737239,-84.558002,,,,,,0
5752,ShiaSeyE,EBD Shiawassee past Seymour,W SHIAWASSEE ST & N CAPITOL AVE,42.737221,-84.554968,,,,,,0
5753,SagiPinE,EBD Saginaw past Pine,W SAGINAW ST & N CHESTNUT ST,42.740891,-84.559622,,,,,,0
5754,SagiWalE,EBD Saginaw past Walnut,W SAGINAW ST & N WALNUT ST,42.74089,-84.556563,,,,,,0
5757,DeerHerS,SBD Deerfield past Herrick,S DEERFIELD AVE & W HOLMES RD,42.699681,-84.591997,,,,,,0
5759,MtHoGrHE,EBD Mt Hope @ Grand Haven Apts,W MOUNT HOPE AVE,42.712065,-84.593519,,,,,,0
5760,FarmAudN,NBD Farm past Auditorium,FARM LN & AUDITORIUM RD,42.729603,-84.477746,,,,,,0
5761,FarmDorN,NBD Farm before Dormitory,E CIRCLE DR & AUDITORIUM RD,42.730659,-84.476799,,,,,,0
5762,BurchAbE,EBD Burcham past Abbot,BURCHAM DR & ABBOT RD,42.74065,-84.483256,,,,,,0
5763,AbbArGlS,SBD Abbot past Arbor Glen,ABBOT RD & SWART ST,42.760319,-84.483789,,,,,,0
5766,AlbGrovW,WBD Albert past Grove,ALBERT AVE & GROVE ST,42.735978,-84.482477,,,,,,0
5772,WashMicS,SBD Washington past Michigan,S WASHINGTON SQ & E ALLEGAN ST,42.733354,-84.552329,,,,,,0
5773,WashAllS,SBD Washington past Allegan,S WASHINGTON SQ & W ALLEGAN ST,42.732021,-84.55233,,,,,,0
5782,BurButtW,WBD Burcham past Butterfield,BURCHAM DR,42.740722,-84.47328,,,,,,0
5786,PerkLesE,EBD Perkins before Leslie,PERKINS ST & SHEPARD ST,42.721047,-84.525255,,,,,,0
5787,PerkLesW,WBD Perkins past Leslie,PERKINS ST & SHEPARD ST,42.721155,-84.525243,,,,,,0
5795,EnOakPTW,WBD English Oak past Pinetree,ENGLISH OAK DR & PINE TREE RD,42.673038,-84.504354,,,,,,0
5796,EnOakSOW,WBD English Oak before Spanish Oak,ENGLISH OAK DR & PINE TREE RD,42.672969,-84.507643,,,,,,0
5797,DuncLegN,NBD Dunckel before Legacy (Trinity),DUNCKEL RD & PINE TREE RD,42.677993,-84.513614,,,,,,0
5798,LCCWest,LCCWest,CORNERSTONE DR & SANDERS RD,42.717734,-84.630129,,,,,,0
